date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:22:40	109/109	---M-Z	200	added ('OK')	text/html	date:Sat,%2009%20Jan%202021%2014:22:40%20GMT	http://www.mekatronikmakine.com.tr/robots.txt		(from )
17:22:40	22899/22899	---MCZ	200	added ('OK')	text/html	date:Sat,%2009%20Jan%202021%2014:22:41%20GMT	http://www.mekatronikmakine.com.tr/	C:/Users/Datacarsi/Desktop/www.mekatronikmakine.com.tr/www.mekatronikmakine.com.tr/index.html	(from )
17:22:41	98/98	---M-Z	200	added ('OK')	text/html	date:Sat,%2009%20Jan%202021%2014:22:41%20GMT	http://www.mekatronikmakine.com.tr/%c4%b0CON	C:/Users/Datacarsi/Desktop/www.mekatronikmakine.com.tr/www.mekatronikmakine.com.tr/%c4%b0CON.html	(from http://www.mekatronikmakine.com.tr/)
17:22:43	12313/12313	---M-Z	200	added ('OK')	text/css	date:Thu,%2025%20Jun%202015%2012:41:22%20GMT	http://mekatronikmakine.com.tr/sablon/site/araclar/md/stil.css	C:/Users/Datacarsi/Desktop/www.mekatronikmakine.com.tr/mekatronikmakine.com.tr/sablon/site/araclar/md/stil.css	(from http://www.mekatronikmakine.com.tr/)
17:22:43	95931/95931	---M-Z	200	added ('OK')	application/javascript	etag:W/%225491a9c1-176bb%22	http://code.jquery.com/jquery-1.11.2.min.js	C:/Users/Datacarsi/Desktop/www.mekatronikmakine.com.tr/code.jquery.com/jquery-1.11.2.min.js	(from http://www.mekatronikmakine.com.tr/)
17:22:44	23739/23739	---M-Z	200	added ('OK')	text/css	etag:%221544639719%22	http://maxcdn.bootstrapcdn.com/font-awesome/4.3.0/css/font-awesome.min.css	C:/Users/Datacarsi/Desktop/www.mekatronikmakine.com.tr/maxcdn.bootstrapcdn.com/font-awesome/4.3.0/css/font-awesome.min.css	(from http://www.mekatronikmakine.com.tr/)
17:22:44	3381/3381	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2024%20Mar%202015%2008:22:52%20GMT	http://mekatronikmakine.com.tr/sablon/site/araclar/lazyload/jquery.lazyload.min.js	C:/Users/Datacarsi/Desktop/www.mekatronikmakine.com.tr/mekatronikmakine.com.tr/sablon/site/araclar/lazyload/jquery.lazyload.min.js	(from http://www.mekatronikmakine.com.tr/)
17:22:45	4938/4938	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2024%20Mar%202015%2008:48:32%20GMT	http://mekatronikmakine.com.tr/sablon/site/araclar/superfish/hoverIntent.js	C:/Users/Datacarsi/Desktop/www.mekatronikmakine.com.tr/mekatronikmakine.com.tr/sablon/site/araclar/superfish/hoverIntent.js	(from http://www.mekatronikmakine.com.tr/)
17:22:45	4293/4293	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2024%20Mar%202015%2008:48:32%20GMT	http://mekatronikmakine.com.tr/sablon/site/araclar/superfish/superfish.min.js	C:/Users/Datacarsi/Desktop/www.mekatronikmakine.com.tr/mekatronikmakine.com.tr/sablon/site/araclar/superfish/superfish.min.js	(from http://www.mekatronikmakine.com.tr/)
17:22:45	22468/22468	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Mar%202015%2008:51:10%20GMT	http://mekatronikmakine.com.tr/sablon/site/araclar/md/resim/logo.png	C:/Users/Datacarsi/Desktop/www.mekatronikmakine.com.tr/mekatronikmakine.com.tr/sablon/site/araclar/md/resim/logo.png	(from http://www.mekatronikmakine.com.tr/)
17:22:48	98/98	---M-Z	200	added ('OK')	text/html	date:Sat,%2009%20Jan%202021%2014:22:48%20GMT	http://mekatronikmakine.com.tr/sablon/belgelerim/resimler/urunler/shrink/3-1_462X275.jpg	C:/Users/Datacarsi/Desktop/www.mekatronikmakine.com.tr/mekatronikmakine.com.tr/sablon/belgelerim/resimler/urunler/shrink/3-1_462X275.html	(from http://www.mekatronikmakine.com.tr/)
